Strategic,Monitor,On,Monday,18-June-2018,filename:CCITY_20180618

Monday,18-June-2018,00:00,SS,10,-,PL,4.4,PV,4.4,CL,60,-6,RL,60,SA,30,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,48,22,4,3,22,5,3,9,2,1,-,-,-,15
,354,S,31,B,19,36,2,2,40,3,3,0,0,0,-,-,-,26
,182,S,34,A,41,0,0,0,10,2,1,-,-,-,-,-,-,11
A=<47,B=53
Monday,18-June-2018,00:00,SS,23M+,PL,4.2,PV,4.2,CL,76,+0,RL,62,SA,130,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,47,17,5,4,21,5,4,11,3,2,-,-,-,23
,152,S,131,A,47,13,3,2,7,2,1,-,-,-,-,-,-,18
,152,S,132,C,17,19,2,1,12,2,1,15,2,1,-,-,-,30
,193,L,57,ABCE,64,5,2,1,31,7,7,21,4,5,-,-,-,440
,193,L,58,AE,42,0,0,0,41,5,6,39,6,6,-,-,-,340
A=<66,B=1,C=34,D=1
Monday,18-June-2018,00:00,SS,3M+,PL,1.3,PV,18.3,CL,85,+0,RL,85,SA,200,DS,11
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,110,16,6,6,-,-,-,-,-,-,-,-,-,14
,145,S,10,C,14,0,0,0,0,0,0,13,2,1,-,-,-,19
,145,S,133,AB,97,11,5,5,17,6,6,-,-,-,-,-,-,12
,145,S,204,AB,97,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,97,11,5,5,17,6,6,-,-,-,-,-,-,12
,145,S,212,AC,110,16,6,6,-,-,-,-,-,-,-,-,-,14
,145,L,4,AB,97,11,5,5,17,6,6,-,-,-,-,-,-,260
A=<32,B=#23,C=41
Monday,18-June-2018,00:00,SS,28M+,PL,8.2,PV,8.3,CL,60-14,RL,47,SA,47,DS,44
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,44,0,0,0,9,2,1,-,-,-,-,-,-,10
,48,S,90,A,44,-,-,-,-,-,-,16,3,3,-,-,-,21
,48,S,91,BC,16,16,2,1,13,2,1,-,-,-,-,-,-,17
,48,S,213,A,44,-,-,-,-,-,-,16,3,3,-,-,-,21
,48,L,23,A,44,0,0,0,9,2,1,-,-,-,-,-,-,120
,48,L,49,A,44,-,-,-,-,-,-,16,3,3,-,-,-,240
A=<35,B=28,C=#22
Monday,18-June-2018,00:01,SS,10,-,PL,4.4,PV,4.4,CL,60,+0,RL,60,SA,30,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,41,24,3,3,19,2,3,0,0,0,-,-,-,20
,354,S,31,B,15,0,0,0,24,2,1,0,0,0,-,-,-,29
,182,S,34,A,41,0,0,0,10,2,1,-,-,-,-,-,-,12
A=<47,B=53
Monday,18-June-2018,00:01,SS,23M+,PL,4.2,PV,3.3,CL,69,+0,RL,60,SA,130,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,62,24,9,7,27,9,7,16,6,4,-,-,-,25
,152,S,131,A,62,18,5,4,15,5,3,-,-,-,-,-,-,17
,152,S,132,C,18,17,2,1,24,2,2,16,2,1,-,-,-,26
,193,L,57,ABCE,82,4,2,1,21,7,6,28,8,8,-,-,-,480
,193,L,58,AE,60,17,3,3,32,6,7,17,4,4,-,-,-,420
A=<66,B=1,C=34,D=1
Monday,18-June-2018,00:01,SS,28M+,PL,8.2,PV,8.2,CL,60,+0,RL,61,SA,90,DS,164
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,19,0,0,0,0,0,0,-,-,-,-,-,-,5
,48,S,90,A,19,-,-,-,-,-,-,164,3,12,-,-,-,85
,48,S,91,BC,14,0,0,0,0,0,0,-,-,-,-,-,-,10
,48,S,213,A,19,-,-,-,-,-,-,164,3,12,-,-,-,85
,48,L,23,A,19,0,0,0,0,0,0,-,-,-,-,-,-,60
,48,L,49,A,19,-,-,-,-,-,-,164,3,12,-,-,-,460
A=<35,B=28,C=#22
Monday,18-June-2018,00:01,SS,3M+,PL,7.3,PV,7.3,CL,80,-2,RL,75,SA,200,DS,5
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,57,20,4,4,-,-,-,-,-,-,-,-,-,16
,145,S,10,C,0,0,0,0,0,0,0,0,0,0,-,-,-,13
,145,S,133,AB,59,10,3,3,19,4,4,-,-,-,-,-,-,16
,145,S,204,AB,59,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,59,10,3,3,19,4,4,-,-,-,-,-,-,16
,145,S,212,AC,57,20,4,4,-,-,-,-,-,-,-,-,-,16
,145,L,4,AB,59,10,3,3,19,4,4,-,-,-,-,-,-,280
A=<49,B=#23,C=22
Monday,18-June-2018,00:02,SS,10,-,PL,3.4,PV,3.4,CL,60,+0,RL,60,SA,30,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,69,15,5,3,15,5,3,6,2,1,-,-,-,20
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,17
,182,S,34,A,71,0,0,0,17,4,4,-,-,-,-,-,-,13
A=<53,B=47
Monday,18-June-2018,00:02,SS,28M+,PL,8.2,PV,8.3,CL,60,+0,RL,59,SA,47,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,20,0,0,0,83,2,6,-,-,-,-,-,-,39
,48,S,90,A,20,-,-,-,-,-,-,0,0,0,-,-,-,58
,48,S,91,BC,28,24,3,2,63,6,6,-,-,-,-,-,-,32
,48,S,213,A,20,-,-,-,-,-,-,0,0,0,-,-,-,58
,48,L,23,A,20,0,0,0,83,2,6,-,-,-,-,-,-,180
,48,L,49,A,20,-,-,-,-,-,-,0,0,0,-,-,-,280
A=<35,B=28,C=#22
Monday,18-June-2018,00:02,SS,23M+,PL,3.2,PV,3.3,CL,60,+0,RL,60,SA,130,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,62,24,9,7,27,9,7,16,6,4,-,-,-,26
,152,S,131,A,62,18,5,4,15,5,3,-,-,-,-,-,-,17
,152,S,132,C,18,17,2,1,24,2,2,16,2,1,-,-,-,23
,193,L,57,ABCE,59,5,2,1,19,4,4,24,5,5,-,-,-,440
,193,L,58,AE,59,9,2,2,12,3,3,8,2,2,-,-,-,360
A=<68,B=1,C=32,D=1
