Strategic,Monitor,On,Thursday,21-June-2018,filename:CCITY_20180621

Thursday,21-June-2018,00:00,SS,28M+,PL,8.2,PV,8.2,CL,72-17,RL,62,SA,50,DS,141
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,15,0,0,0,0,0,0,-,-,-,-,-,-,15
,48,S,90,A,15,-,-,-,-,-,-,105,5,6,-,-,-,93
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,16
,48,S,213,A,15,-,-,-,-,-,-,105,5,6,-,-,-,93
,48,L,23,A,15,0,0,0,0,0,0,-,-,-,-,-,-,160
,48,L,49,A,15,-,-,-,-,-,-,105,5,6,-,-,-,640
A=<41,B=28,C=#22
Thursday,21-June-2018,00:00,SS,10,+,PL,4.2,PV,4.2,CL,79,-4,RL,66,SA,30,DS,10
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,71,10,4,2,10,4,2,0,0,0,-,-,-,11
,354,S,31,B,18,17,3,1,0,0,0,20,3,1,-,-,-,33
,182,S,34,A,50,18,3,3,42,6,7,-,-,-,-,-,-,30
A=<47,B=53
Thursday,21-June-2018,00:01,SS,23M+,PL,3.2,PV,3.3,CL,100,+0,RL,82,SA,130,DS,49
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,46,45,12,10,49,10,10,22,6,5,-,-,-,42
,152,S,131,A,46,18,3,3,7,2,1,-,-,-,-,-,-,17
,152,S,132,C,16,0,0,0,10,2,1,7,2,0,-,-,-,13
,193,L,57,ABCE,76,0,0,0,29,9,7,0,0,0,-,-,-,220
,193,L,58,AE,54,17,4,3,16,4,3,12,3,2,-,-,-,280
A=<68,B=1,C=32,D=1
Thursday,21-June-2018,00:01,SS,3M+,PL,7.3,PV,7.3,CL,99,+5,RL,72,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,90,0,0,0,-,-,-,-,-,-,-,-,-,4
,145,S,10,C,13,0,0,0,0,0,0,0,0,0,-,-,-,18
,145,S,133,AB,78,11,5,4,9,3,2,-,-,-,-,-,-,12
,145,S,204,AB,78,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,78,11,5,4,9,3,2,-,-,-,-,-,-,12
,145,S,212,AC,90,0,0,0,-,-,-,-,-,-,-,-,-,4
,145,L,4,AB,78,11,5,4,9,3,2,-,-,-,-,-,-,220
A=<55,B=#23,C=22
Thursday,21-June-2018,00:01,SS,28M+,PL,8.2,PV,8.2,CL,82,-3,RL,60,SA,50,DS,147
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,45,7,2,1,12,3,2,-,-,-,-,-,-,9
,48,S,90,A,45,-,-,-,-,-,-,28,7,5,-,-,-,64
