,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1521.8842,768.29944,141034.600766505,280.8147227305898,5913757548150404.0,375.54573724981225,0.762943348063128
1,1,1282.4238,550.58435,181330.83142891567,329.654308521305,3.3408838686379996e+16,425.8295802652931,0.40304952038311315
2,2,1147.2064,443.27185,116931.59442734152,258.1033327615974,2776844344709372.0,341.9526201498411,0.40960289633128233
3,3,1129.2291,514.7746,163350.73730248588,307.0948548720954,8276254080648953.0,404.16671968692066,0.3843655986511182
4,4,1871.8838,694.4047,169524.46709714553,318.39088324244375,2.1829974172157404e+16,411.73349037592936,0.6496626907547876
5,5,1354.0795,725.621,87643.87282743145,217.17554993728456,2945892376568642.5,296.0470787348381,0.8359250140932885
6,6,511.6006,483.86554,143896.16813271982,277.13043473727026,2.715244623944227e+17,379.3364840517187,0.40736292699627596
7,7,1144.897,583.30963,131447.45448654567,261.24253067616803,1.62526352683686e+16,362.5568293199642,0.6174564373636353
8,8,1351.9331,709.55133,131274.04995016035,279.9024087699215,1.0274933327894613e+17,362.31760921898393,0.7400444897394548
9,Average,1257.2377,608.1869,140714.86404658342,281.05655847207504,5.1741999127816904e+16,373.27623878370014,0.5789347691528982
10,Standard Deviation,343.81775,111.778854,26996.797326866203,32.404767324850056,8.310940138583883e+16,37.14449630937938,0.16972160407537862
