,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1437.8506,779.0653,116182.6191046404,252.39183887974372,4999429034707556.0,340.8557159629869,0.8085861640774739
1,1,1228.6929,541.1097,167973.93185524628,315.9578109508173,3.6645070897214264e+16,409.8462295242525,0.4265388027464516
2,2,1136.1868,438.52267,109369.96213248996,247.4337527455407,0.24349034945435388,330.7112972556123,0.4371094606389242
3,3,1190.477,537.69763,158135.25899481753,302.6056096899964,9008673220237730.0,397.6622423550136,0.454007587680489
4,4,1820.3535,665.6176,150162.32174732658,301.86728222296614,1.3556465873332046e+16,387.5078344334816,0.6612397542230066
5,5,1278.4106,728.68823,70338.40210414235,195.53751436933064,1.3245303896355688e+16,265.21387992362384,0.8675355010603241
6,6,480.45453,466.92416,131399.38949625148,269.5776329365147,3.408629510438332e+17,362.49053711269687,0.39905412903659276
7,7,1132.4783,581.6971,106708.63906795462,238.9746052060825,5891735427358804.0,326.6628829052279,0.6856982332804031
8,8,1298.2285,708.28845,117292.19844836082,262.54975063229034,1.1645222158334336e+17,342.4794861715966,0.766273358255896
9,Average,1222.5703,605.29016,125284.74699458113,265.21064418147586,6.007353899737585e+16,351.4922339604991,0.6117825545555068
10,Standard Deviation,329.9688,113.46756,28522.871456981255,35.53798099013614,1.0494026904786002e+17,41.68880497254469,0.17349045490040058
