,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1363.3455,784.4655,106268.09197919365,241.9250488238661,3827140449417254.0,325.9878709080963,0.8353958987288903
1,1,1149.2397,511.75305,154411.95878616866,301.16071499800364,5.2631701749277704e+16,392.952870947864,0.4141922284957952
2,2,1103.2482,462.70746,110169.25446063187,250.72546295652452,0.27316076606372236,331.9175416585147,0.4903312381650101
3,3,1105.252,530.36554,139263.0529395269,281.19850686080736,1.389459122653173e+16,373.1796523653546,0.5067307952443032
4,4,1730.3748,691.2465,164959.81581765338,316.0497285839363,3.0255061631043404e+16,406.15245391066316,0.6552600052670777
5,5,1225.2919,736.2161,79751.44613107588,204.08777795161345,4337114913820509.5,282.4029853437741,0.8579390331239377
6,6,445.75052,470.58997,144377.27877898284,271.94585852204904,3.1858296721694944e+17,379.9701024804226,0.3659563636461667
7,7,1075.9386,603.3736,116242.78447958655,247.04885437326618,1.1246188047127004e+16,340.9439609079277,0.682691206529686
8,8,1263.7129,717.31635,126651.2176564408,272.13733371350696,1.4971108947070928e+17,355.8809037535462,0.7562564902004798
9,Average,1162.4614,612.0038,126899.4334476956,265.14214297595265,6.494287274498626e+16,354.37648247512925,0.6183059177112606
10,Standard Deviation,317.13898,116.24622,25179.302671167763,31.699678525300317,9.999376957923232e+16,36.28694140114342,0.17103045292010946
