,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1496.9319,793.7182,125062.99386064155,264.0024969486384,2303220176396029.5,353.6424661443271,0.804321724768333
1,1,1247.1808,546.8277,167747.83357026987,315.5971749384804,3.5287182195537444e+16,409.5703035746975,0.4399842851075969
2,2,1111.2839,441.72824,110976.74655066758,248.47206726479507,2176564254111415.0,333.1317255241049,0.4345959835442046
3,3,1175.6112,542.1694,156079.43802874562,300.7746480270244,1.515204618764917e+16,395.06890288751606,0.46983648449445814
4,4,1849.6327,701.9749,158941.81314541813,309.30698381690723,2.0519867713445816e+16,398.6750721394782,0.6774515295643063
5,5,1331.895,736.14636,89964.03140306928,215.44055881318695,1.2008093726731842e+16,299.94004634771477,0.8349553796490642
6,6,488.04123,473.0663,138675.06766604655,271.4767817917592,2.9816289819813696e+17,372.3910144808096,0.39224292250256476
7,7,1128.3558,584.12195,101497.25302614758,232.94777284093033,6634617085255548.0,318.58633527844154,0.7038496444929452
8,8,1322.9302,716.7942,124721.17627819527,273.75255358462874,1.1609740067091955e+17,353.1588541693317,0.7584806617091857
9,Average,1239.096,615.1719,130407.3726143557,270.1967820029279,5.648243224535376e+16,359.35163561626905,0.6128576239814065
10,Standard Deviation,341.83368,118.14142,25486.025255966328,32.37996023874324,9.174931023004418e+16,35.68997890540019,0.16681067149067624
