,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1474.806,756.001,124929.40568651314,263.2006385634813,891896140616623.9,353.45354105810446,0.7816019318297887
1,1,1246.5269,571.82306,193129.46999176548,339.09552815312645,6.858343287758611e+16,439.4649815306852,0.4102629178155114
2,2,1164.1204,443.17404,118778.55076243229,257.82560617829813,1336744398427133.0,344.64264211271404,0.40007832351586314
3,3,1231.9274,538.44836,166273.70549031877,310.61423158465914,1.9807010784188612e+16,407.7667292586765,0.427036782947704
4,4,1866.9067,673.055,159841.49736611714,308.74540489685313,1.7357511251716568e+16,399.80182261480144,0.6472390271226054
5,5,1338.8813,777.4835,132651.9963483908,235.18824214315563,1447372154453669.8,364.2142176637134,0.780701455304987
6,6,461.1051,459.43448,138915.56405584465,272.8532491047942,3.1173536477025114e+17,372.7137830237093,0.363298351442068
7,7,1123.7876,530.0806,102257.68962623467,239.1896396047442,1457140887541553.2,319.7775627310876,0.6375794461435109
8,8,1300.0233,687.88586,122245.80087436826,265.22835999523824,5.401482475764904e+16,349.63666980791396,0.7418376313166388
9,Average,1245.3428,604.154,139891.5200224428,276.88232224715006,5.2959033113603384e+16,372.3857722001562,0.5766262074931865
10,Standard Deviation,347.58173,116.69841,26622.802980831202,33.141297727221165,9.443321855238125e+16,34.93360395573534,0.1654588589646579
