,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,586.2245,302.10443,49096.00066205023,164.81646395599586,7940835598899874.0,221.5761734980777,0.46901884573966435
1,1,443.9609,325.32227,80117.24088662863,218.26123835607132,1.5577034799201626e+17,283.0498911616619,0.26877051702224874
2,2,784.5025,354.2095,76934.53290380795,217.39412181296922,5.124863053223054e+16,277.3707499067051,0.3869651817929609
3,3,729.13776,384.85095,63952.54133904171,173.99140671720417,827677650368157.6,252.8883970035828,0.5732430414529385
4,4,274.19473,166.39223,11915.486801892213,80.46340265260149,2.2431195404136092e+16,109.15808170672574,0.5729168702144485
5,5,1341.9609,800.09467,156603.95809592877,300.99761150586187,6.759704370569057e+16,395.73217975788725,0.757304722713427
6,6,2369.319,1143.4784,194145.43858206895,342.8752554490452,1131905324120496.0,440.6193806246713,0.8524183348884974
7,7,1079.7225,502.33392,68144.23461307003,195.31945023968765,3383242728140987.5,261.0445069582389,0.7312229491297971
8,8,1723.888,797.3515,168183.79099166192,315.68540437458256,3.72384781932752e+16,410.10217140569,0.7386119680217174
9,9,1144.897,583.30963,131459.06266231206,261.3964731368954,1.570744965394712e+16,362.5728377337608,0.6183665243286985
10,10,1351.9331,709.55133,130217.37580623663,279.75840956884207,1.1127497102725642e+17,360.85644764398575,0.742655761916882
11,Average,1075.4312,551.7271,102797.24212224538,231.90538525179608,4.314107071000742e+16,306.8155288546352,0.6101358833837528
12,Standard Deviation,582.4395,274.59845,54041.012050877565,73.72656616371162,4.8225500006029496e+16,93.06703699965897,0.17006756076993818
