,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,583.85004,302.56003,47236.00271173297,161.0496358321821,5166552342155541.0,217.33845198614296,0.49781828113286153
1,1,386.5515,378.83817,131447.81739632122,273.1738258481963,2.2622351153582602e+17,362.55732980636486,0.12173897269484302
2,2,828.27826,380.10745,85229.67296604445,229.83403755729927,5.399869136407174e+16,291.941214914997,0.41043333264961257
3,3,663.86523,346.54477,35217.96556224671,135.01231458835477,1253186249252488.2,187.66450266964904,0.7085562487019931
4,4,240.7999,152.5243,8908.636320716676,68.57597033886813,1.6295346435302114e+16,94.3855726301254,0.6174239936789945
5,5,1306.2788,796.6915,132896.8020983093,281.7115587267974,8.312177580320286e+16,364.550136604431,0.7908888153333452
6,6,2141.7234,1192.0842,149045.00085127488,293.9034322579518,1682551924308533.5,386.0634673875202,0.8952170221154667
7,7,1013.7621,483.0594,59599.3259656591,182.8913988919961,965026053587278.8,244.129731834652,0.7449965398896756
8,8,1704.5146,791.31885,144674.40734905054,299.3692026502743,2.763823469034001e+16,380.36089092998316,0.7690291768369656
9,9,1132.4783,581.6971,106774.2467921483,238.93412418216852,5709816750059406.0,326.7632886236584,0.6864013057207603
10,10,1298.2285,708.28845,116786.01546356468,262.6158965851806,1.2124355688825082e+17,341.73968962291264,0.7672522794028191
11,Average,1027.3029,555.79224,92528.71758882444,220.64285431447905,4.939075000330516e+16,290.6812979100397,0.6372505425597579
12,Standard Deviation,544.4363,282.89142,46038.30876048197,71.1388368061443,6.739456130616284e+16,89.62756626261358,0.20901493152424164
