,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,538.0809,285.1209,42645.4223169075,154.86256767525802,6562656168333103.0,206.50768101188754,0.48254032046157425
1,1,215.14949,267.1936,71892.34263237737,190.09607164739302,2.328451535126073e+17,268.1274745944126,0.0075188306576877695
2,2,773.431,379.25873,86001.35936071984,228.15251320410684,6.647622435502812e+16,293.2598836539356,0.40209677762912166
3,3,654.8826,351.61862,38736.039210751245,142.83902780177704,2799022726511886.0,196.81473321565954,0.696804287665538
4,4,231.79648,154.87016,9182.47015955471,69.7086747458392,2.221167448580919e+16,95.82520628495777,0.6182051699125488
5,5,1245.8862,785.25336,149863.34982587115,293.82400681462,1.0817719441806232e+17,387.12187980773075,0.7638169319329546
6,6,2003.9985,1158.6085,168625.41875144572,311.35278571357117,1469760367872702.5,410.6402546651335,0.878492615878044
7,7,936.1597,466.99454,66342.67751039265,190.21829933372456,7625127503493743.0,257.5707233176796,0.6967565276185577
8,8,1623.7529,812.9235,163859.0572811594,312.5759405093829,4.470527540839709e+16,404.79508060395125,0.7547048725923504
9,9,1075.9386,603.3736,116362.64615140895,247.3815046832263,1.1369025583370892e+16,341.11969475743985,0.6821575599496374
10,10,1263.7129,717.3163,125818.36785488464,271.37643211884756,1.4907137421497104e+17,354.70884941721516,0.7577899693801848
11,Average,960.25354,543.8665,94484.46827777027,219.30798402252242,5.93920444313143e+16,292.40831466636394,0.6128076239707455
12,Standard Deviation,531.67706,287.14465,51595.3972277924,74.08930624213625,7.166294223464064e+16,94.77260042727002,0.22986786622689007
