,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,570.9711,294.76147,41651.44577834508,153.1969999349712,6300275757552884.0,204.08685841656998,0.527555737316087
1,1,265.3799,303.19467,91270.8672764775,216.99284900123948,2.3099726283500758e+17,302.1106871272142,0.028148927719984562
2,2,814.2405,369.27686,78904.19832365501,221.97518854956795,4.7723610196665976e+16,280.898911218351,0.4219495562872111
3,3,681.59076,357.56073,38147.17097090416,142.117631479358,2015843608113288.2,195.31300768485482,0.703906623051006
4,4,256.20615,161.10178,10755.604473509899,75.65778138173982,2.082688004154453e+16,103.70923041614907,0.6047535932826996
5,5,1336.924,803.45447,141208.92428796177,282.22294866527335,7.930055896020376e+16,375.7777591715105,0.7825775864799087
6,6,2140.0085,1196.3479,159730.35716246298,306.42135339370276,301350670651921.9,399.6628043269263,0.8891895238238194
7,7,1004.2895,485.74057,63458.060158936714,187.43827383654823,1728257268239751.0,251.9088330307945,0.7315777418936054
8,8,1694.6537,796.64056,152808.7174829812,306.7666095683906,3.1721229440746384e+16,390.9075561855785,0.7594410454528668
9,9,1128.3558,584.12195,101137.96721390639,232.6809998427134,6758720152065534.0,318.0219602698946,0.7047865327379883
10,10,1322.9302,716.7942,125046.09967610352,273.27389548485036,1.0587749583372302e+17,353.6185793706314,0.7571010537080333
11,Average,1019.59534,551.7268,91283.58298229495,218.06768464894137,4.85046804331377e+16,288.7287442925886,0.6282716292502918
12,Standard Deviation,558.0068,289.65692,47576.68536332209,70.2352049672803,6.6598298731231304e+16,88.99042196506265,0.22590245113934365
