,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,572.31683,288.8372,44025.89377499529,158.8644883249095,60850.07277704209,209.8234824203318,0.47397678480028227
1,1,129.8004,174.69061,33276.617545060864,118.45903366835606,511609.54556652997,182.41879712644985,-0.029427752324895362
2,2,771.73584,366.55313,79344.03547933904,222.60086011672072,172122.8873795297,281.6807332412692,0.4096301024901071
3,3,688.9552,362.65802,63704.84711475172,173.53035350236345,11104.103491139555,252.39819158375863,0.5158236803192318
4,4,249.64081,162.02747,10295.428880117553,75.537128856316,71225.35663133209,101.4663928604814,0.6149214203182931
5,5,1267.6576,769.00885,128521.13116725447,279.6475847560124,269539.8039545346,358.4984395604177,0.7827156541713648
6,6,2278.973,1072.4904,212455.05187565292,354.8931802902252,4931.81156025114,460.9284672003378,0.8267542112277957
7,7,1056.638,475.34787,60025.22329234671,184.98414523989058,10863.165032376048,245.00045569824294,0.7343705744479281
8,8,1606.8196,737.0188,153805.31232516348,308.33851701802814,109835.34705600656,392.1802038925008,0.7168791204428302
9,9,1123.7876,530.0806,102106.80005114347,239.1768657703985,5284.717261951378,319.5415466745185,0.6380827403787592
10,10,1300.0233,687.88586,122465.2360748859,265.71698268357625,191830.0298248149,349.95033372592445,0.7418015958744961
11,Average,1004.21344,511.50897,91820.50705279196,216.52264911152696,129017.89459413709,286.71700399856667,0.5841389211041994
12,Standard Deviation,590.53485,268.49036,56489.57724809982,79.88197170837245,147356.2288748428,98.05032723493517,0.23177565248459037
