,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,586.2245,302.10443,49103.72437994688,165.08192404677047,8067882222596378.0,221.59360184794795,0.46813736662005245
1,1,443.9609,325.32227,82257.02217790141,220.2984251959908,1.462178786102941e+17,286.80485033886964,0.26399214348132594
2,2,784.5025,354.2095,76800.13728687234,217.1538795303977,5.176534352787858e+16,277.1283769065744,0.3880694280477537
3,3,729.13776,384.85095,63730.33503377801,173.88436898145403,817203529089318.4,252.44867801946995,0.5726721234440308
4,4,274.19473,166.39223,11851.466480709647,80.52419768634354,2.3387014482049132e+16,108.86444084598813,0.5722768139025527
5,5,1341.9609,800.09467,155168.36873962724,300.6920123982028,8.208102011253158e+16,393.9141641774604,0.760872819593351
6,6,2369.319,1143.4783,194841.6349582612,344.16091307508316,1176653162232348.8,441.4086937955133,0.8554532368590405
7,7,1079.7225,502.33392,68109.77944059313,195.02264718664534,3340203725701700.5,260.9785037902416,0.7315775372122837
8,8,1723.888,797.3515,168025.0313405687,315.80022601311776,3.843529905655265e+16,409.90856460992455,0.73909882982907
9,9,1144.897,583.30963,131241.72720927172,260.9589895509331,1.6077102706030786e+16,362.27300093889374,0.6180098076899552
10,10,1351.9331,709.55133,130417.88546169359,279.93608982411666,1.1252508306372478e+17,361.13416545889646,0.7425146151692232
11,11,1147.2064,443.27185,116952.41830350425,258.14704880928804,2808691252043124.5,341.98306727600453,0.4109190573216718
12,12,1129.2291,514.7746,164393.12080941157,308.3270716890835,8277295774629818.0,405.4542154293276,0.38050427812116805
13,13,1871.8838,694.4047,168572.4728511107,317.77015758000624,2.19311892449041e+16,410.57578210497354,0.650418066858887
14,Average,1141.2902,551.5321,112961.79460523218,245.55413939767377,3.6921990033589896e+16,323.8907218242919,0.5824654374393118
15,Standard Deviation,555.0581,248.26997,52710.2783008838,71.35258019258384,4.415202427669177e+16,89.75853676041837,0.17057022320212667
