,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,583.8501,302.56003,47417.59327134863,161.32000864670647,5084746879237158.0,217.75581110810484,0.49813691867311594
1,1,386.5515,378.83817,128681.43398543743,271.892477940845,2.449386545594248e+17,358.72194522420483,0.12262162873522742
2,2,828.27826,380.10745,85538.10678426723,230.11037290739014,5.3207337412842056e+16,292.4689843116142,0.408681751830715
3,3,663.86523,346.54477,35431.64190578781,135.63606303191645,1155679346339503.8,188.23294585642495,0.7083919796255442
4,4,240.7999,152.5243,8969.368893872783,69.60836588268683,1.8390506504408196e+16,94.70675210286109,0.6169498146042407
5,5,1306.2788,796.6915,133415.33091616727,281.43503144254305,7.426186536126133e+16,365.2606342273518,0.7898713531583359
6,6,2141.7234,1192.0842,154549.25267762432,299.35380846468945,1589165546681000.2,393.127527244817,0.8924142839716617
7,7,1013.7621,483.0594,59843.31202794575,183.1945190852479,947860451123632.4,244.62892721006187,0.7442157730340633
8,8,1704.5146,791.31885,143587.35662254514,298.25888916684437,3.0753464465809184e+16,378.9292237642079,0.7708295243198198
9,9,1132.4783,581.6971,106328.16372686884,238.67608840469973,5603461753245204.0,326.07999590111143,0.6868284884198869
10,10,1298.2285,708.28845,116937.98002645724,263.0644437942551,1.2562185328027014e+17,341.96195698711466,0.7669327671178172
11,11,1136.1868,438.52267,109710.09356112125,247.54850917440805,0.24281697324832466,331.2251402914961,0.4377148358152022
12,12,1190.477,537.69763,158045.82437519243,302.47537258208405,9088959043477332.0,397.5497759717548,0.4542340321979186
13,13,1820.3535,665.6176,150640.77229985586,302.954681229147,1.3285404938318454e+16,388.1246865375299,0.6605060321480161
14,Average,1103.382,553.968,102792.58793389228,234.68061655381885,4.170921139588843e+16,308.4838790527611,0.6113092274036832
15,Standard Deviation,524.1931,254.44585,46370.25243530339,69.25745811965088,6.620937238870505e+16,87.35149854727021,0.19699591588080237
