,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,538.0808,285.1209,44508.81513585805,156.396275440145,5483381796148314.0,210.97112393846237,0.4763956548639322
1,1,215.14949,267.1936,75117.662394343,189.40555014253127,1.9253454970709392e+17,274.07601572254185,0.0002624877952639437
2,2,773.431,379.25873,85835.56818596128,227.78403546637296,6.679849323232459e+16,292.97707791900933,0.40326431854417677
3,3,654.8826,351.61862,39091.518453127625,143.4781378985005,2690840551513984.5,197.71575165658305,0.6967684901341413
4,4,231.79648,154.87016,9160.251511088898,71.04911836819895,2.5290949497933772e+16,95.70920285473544,0.6201597728810049
5,5,1245.8862,785.25336,148474.51619798175,294.33721292584244,1.2333366275321669e+17,385.3239107529946,0.7650125559174186
6,6,2003.9985,1158.6085,163406.80103371153,306.9261992251642,1354608426446099.8,404.2360709210789,0.8783393183886148
7,7,936.1597,466.99454,66465.99096034055,190.21600498583584,7566164447176324.0,257.80999003207876,0.6967948959780761
8,8,1623.7529,812.9235,166539.48469581656,314.7935826271333,4.669611545919191e+16,408.09249527014896,0.7540107964122532
9,9,1075.9386,603.3736,116093.14606526961,247.21905797034606,1.1316749812947282e+16,340.72444301116644,0.6826170962926128
10,10,1263.7129,717.3163,129014.1917267299,276.0899094354771,1.6110427367211194e+17,359.1854558953214,0.7532627701529448
11,11,1103.2482,462.70746,110627.64522108757,251.21182531340276,0.2719242351125046,332.607343907328,0.48985196973195966
12,12,1105.252,530.36554,139310.67266721954,281.14522756481733,1.396409637184913e+16,373.24344959720264,0.5074029212283208
13,13,1730.3748,691.2465,166417.1236717225,316.9836397002146,3.132749309424252e+16,407.94254947446035,0.654921328101739
14,Average,1035.8331,547.63226,104290.24199430416,233.35969836171301,4.924724134444261e+16,310.0439200680794,0.59850459831589
15,Standard Deviation,511.58527,258.4658,49782.10145411438,71.48729039176166,6.150744777326289e+16,90.34937533332777,0.20963165216180354
