,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,570.9711,294.76147,41324.28080358366,153.03218786820702,6553302947135192.0,203.2837445630704,0.529337088461724
1,1,265.3799,303.19467,90190.89835263274,219.31357527349584,2.5736151065357014e+17,300.31799538594544,0.02403842657746913
2,2,814.2405,369.27686,78944.93454100532,222.2137236501135,4.8080178939017336e+16,280.9714123198396,0.4214511891570575
3,3,681.59076,357.56073,38209.46294635492,142.06703535023505,1901076668866594.8,195.47240968063733,0.704646117067687
4,4,256.20615,161.10178,10590.6927520619,75.0687321272891,2.1626068670649364e+16,102.91109149193734,0.6035864424850832
5,5,1336.924,803.45447,141587.20451554743,282.6373843146658,7.807431315008829e+16,376.2807522522876,0.7817811176957736
6,6,2140.0085,1196.348,154713.6299680333,301.54704529469603,327186578661847.7,393.3365352570662,0.8919915833651065
7,7,1004.2895,485.74057,63686.71571949346,187.68035058065811,1748533704292903.5,252.36227079239373,0.730434878576141
8,8,1694.6537,796.64056,151877.16215538277,305.73528092532604,3.45969252123496e+16,389.71420573977383,0.7608595577234099
9,9,1128.3558,584.12195,101102.46920982511,232.51558784188686,6786238243766621.0,317.96614475416266,0.7050397873763161
10,10,1322.9302,716.7942,124767.67993163668,273.25083276558877,1.1201402100086442e+17,353.2246876021503,0.7580661128026762
11,11,1111.2839,441.72824,111283.75760245693,248.53873147632547,2196140723310662.5,333.5922025504447,0.43418576415534227
12,12,1175.6112,542.1694,155314.9713287681,300.66992212156805,1.5092271813610016e+16,394.10020467993684,0.47219803174045183
13,13,1849.6327,701.97485,159092.42339906728,308.82175073453095,2.078144933372127e+16,398.86391588995275,0.6772064759474246
14,Average,1096.5769,553.91907,101620.4488018464,232.36372430889904,4.336708697427887e+16,306.59982663997135,0.6067730409379758
15,Standard Deviation,538.77045,261.53543,47647.751867954554,68.97244077088196,6.723328816910604e+16,87.27539805802047,0.2114449278756516
