,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,572.31683,288.8372,44794.90118166436,159.53504311704597,1.6270055987195576e+16,211.64805971627607,0.47082112892949135
1,1,129.80043,174.69061,36372.434781581454,121.20263173890613,1.0381598770083094e+17,190.71558610030135,-0.032202170669649144
2,2,771.73584,366.55313,79329.18528870314,222.66300375473367,4.781889395063479e+16,281.654372039035,0.40987231243907407
3,3,688.9552,362.65802,64067.18529316988,173.54973886187054,3022109227062859.0,253.1149645776991,0.5139123119349295
4,4,249.64081,162.02745,10310.754712960328,75.4447728993355,1.930841044467124e+16,101.54188649498457,0.6142453263827943
5,5,1267.6576,769.00885,127211.63495359226,279.6557501219005,8.36573652148955e+16,356.6674010245291,0.78540964935623
6,6,2278.973,1072.4904,189080.76438088095,333.84623140891426,1399986016801095.0,434.83418032726104,0.8356158015361898
7,7,1056.638,475.3479,59868.54036404783,184.82383865116776,2843469432713361.5,244.6804862755668,0.7351004518003285
8,8,1606.8196,737.0188,153161.43911041392,307.61648781989,2.9828351700191476e+16,391.35845348020007,0.7181868291695064
9,9,1123.7876,530.0806,102047.08795734037,239.02918175229252,1513844423182650.2,319.4480990041111,0.6377781587907709
10,10,1300.0233,687.88586,122677.62613035526,265.37544419200304,5.266673141598202e+16,350.25365969587705,0.7408836125478141
11,11,1164.1204,443.17404,118854.30559525656,258.00940824309464,1289971678837676.0,344.75252804766575,0.39932512784798757
12,12,1231.9274,538.4484,165736.0479817691,310.62321433151976,1.9837431840853656e+16,407.10692450727134,0.4289270519315471
13,13,1866.9067,673.055,159525.845113917,308.491743412164,1.7296364883245594e+16,399.406866633408,0.6483787010972233
14,Average,1093.5216,520.0911,102359.83948897517,231.41903502177416,2.861206956550703e+16,306.2273905660133,0.5647324495067313
15,Standard Deviation,569.8399,242.5194,52530.09298605421,75.59064454392517,3.1189192316073924e+16,92.65325011085966,0.21679156570516103
